"REGION","Region","LOCATION","Country","INC","Income","VAR","Variable","TIME","Year","Value","Flag Codes","Flags"
"ALL","All regions","DMA","Dominica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AME","Americas","DOM","Dominican Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","DOM","Dominican Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.2,,
"ALL","All regions","DOM","Dominican Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","DOM","Dominican Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.2,,
"AME","Americas","ECU","Ecuador","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","ECU","Ecuador","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.6,,
"ALL","All regions","ECU","Ecuador","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ECU","Ecuador","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.6,,
"AFR","Africa","EGY","Egypt","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","EGY","Egypt","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AME","Americas","SLV","El Salvador","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","SLV","El Salvador","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.3,,
"ALL","All regions","SLV","El Salvador","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","SLV","El Salvador","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.3,,
"AFR","Africa","GNQ","Equatorial Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GNQ","Equatorial Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","ERI","Eritrea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ERI","Eritrea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","EST","Estonia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","EST","Estonia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.4,,
"ALL","All regions","EST","Estonia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","EST","Estonia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.4,,
"AFR","Africa","ETH","Ethiopia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","ETH","Ethiopia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"ALL","All regions","ETH","Ethiopia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ETH","Ethiopia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"ASI","Asia","FJI","Fiji","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","FJI","Fiji","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","GAB","Gabon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","GAB","Gabon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.9,,
"ALL","All regions","GAB","Gabon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GAB","Gabon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.9,,
"AFR","Africa","GMB","Gambia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","GMB","Gambia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.4,,
"ALL","All regions","GMB","Gambia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GMB","Gambia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.4,,
"ASI","Asia","GEO","Georgia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","GEO","Georgia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.3,,
"ALL","All regions","GEO","Georgia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GEO","Georgia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.3,,
"AFR","Africa","GHA","Ghana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","GHA","Ghana","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.8,,
"ALL","All regions","GHA","Ghana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GHA","Ghana","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.8,,
"AME","Americas","GRD","Grenada","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GRD","Grenada","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AME","Americas","GTM","Guatemala","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","GTM","Guatemala","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.2,,
"ALL","All regions","GTM","Guatemala","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GTM","Guatemala","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.2,,
"AFR","Africa","GIN","Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","GIN","Guinea","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",48.2,,
"ALL","All regions","GIN","Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GIN","Guinea","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",48.2,,
"AFR","Africa","GNB","Guinea-Bissau","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","GNB","Guinea-Bissau","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","GUY","Guyana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","GUY","Guyana","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AME","Americas","HTI","Haiti","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AME","Americas","HTI","Haiti","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.3,,
"ALL","All regions","HTI","Haiti","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","HTI","Haiti","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",51.3,,
"AME","Americas","HND","Honduras","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","HND","Honduras","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.7,,
"ALL","All regions","HND","Honduras","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","HND","Honduras","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.7,,
"ASI","Asia","HKG","Hong Kong, China","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","HKG","Hong Kong, China","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.6,,
"ALL","All regions","HKG","Hong Kong, China","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","HKG","Hong Kong, China","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.6,,
"ASI","Asia","IND","India","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","IND","India","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58,,
"ALL","All regions","IND","India","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","IND","India","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58,,
"ASI","Asia","IDN","Indonesia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ASI","Asia","IDN","Indonesia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",81.2,,
"ALL","All regions","IDN","Indonesia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ALL","All regions","IDN","Indonesia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",81.2,,
"ASI","Asia","IRN","Iran","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"ASI","Asia","IRN","Iran","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.1,,
"ALL","All regions","IRN","Iran","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"ALL","All regions","IRN","Iran","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.1,,
"ASI","Asia","IRQ","Iraq","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","IRQ","Iraq","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",29.7,,
"ALL","All regions","IRQ","Iraq","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","IRQ","Iraq","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",29.7,,
"ASI","Asia","ISR","Israel","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","ISR","Israel","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.8,,
"ALL","All regions","ISR","Israel","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ISR","Israel","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.8,,
"AME","Americas","JAM","Jamaica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","JAM","Jamaica","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.6,,
"ALL","All regions","JAM","Jamaica","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","JAM","Jamaica","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.6,,
"ASI","Asia","JOR","Jordan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"ASI","Asia","JOR","Jordan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.9,,
"ALL","All regions","JOR","Jordan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"ALL","All regions","JOR","Jordan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.9,,
"ASI","Asia","KAZ","Kazakhstan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","KAZ","Kazakhstan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"ALL","All regions","KAZ","Kazakhstan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","KAZ","Kazakhstan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.1,,
"AFR","Africa","KEN","Kenya","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","KEN","Kenya","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.2,,
"ALL","All regions","KEN","Kenya","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","KEN","Kenya","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",58.2,,
"ASI","Asia","KWT","Kuwait","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.5,,
"ALL","All regions","KWT","Kuwait","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.5,,
"ASI","Asia","KGZ","Kyrgyzstan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","KGZ","Kyrgyzstan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",69,,
"ALL","All regions","KGZ","Kyrgyzstan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","KGZ","Kyrgyzstan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",69,,
"ASI","Asia","LAO","Lao People's Democratic Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","LAO","Lao People's Democratic Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.4,,
"ALL","All regions","LAO","Lao People's Democratic Republic","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LAO","Lao People's Democratic Republic","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.4,,
"EUR","Europe","LVA","Latvia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","LVA","Latvia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.4,,
"ALL","All regions","LVA","Latvia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LVA","Latvia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",75.4,,
"ASI","Asia","LBN","Lebanon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","LBN","Lebanon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56.1,,
"ALL","All regions","LBN","Lebanon","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LBN","Lebanon","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",56.1,,
"AFR","Africa","LSO","Lesotho","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","LSO","Lesotho","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.2,,
"ALL","All regions","LSO","Lesotho","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LSO","Lesotho","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",63.2,,
"AFR","Africa","LBR","Liberia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","LBR","Liberia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.8,,
"ALL","All regions","LBR","Liberia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LBR","Liberia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",66.8,,
"AFR","Africa","LBY","Libya","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"AFR","Africa","LBY","Libya","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",35.2,,
"ALL","All regions","LBY","Libya","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ALL","All regions","LBY","Libya","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",35.2,,
"EUR","Europe","LTU","Lithuania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","LTU","Lithuania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",59.7,,
"ALL","All regions","LTU","Lithuania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","LTU","Lithuania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",59.7,,
"EUR","Europe","MKD","North Macedonia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","MKD","North Macedonia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.3,,
"ALL","All regions","MKD","North Macedonia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MKD","North Macedonia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.3,,
"AFR","Africa","MDG","Madagascar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MDG","Madagascar","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.4,,
"ALL","All regions","MDG","Madagascar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MDG","Madagascar","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.4,,
"AFR","Africa","MWI","Malawi","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MWI","Malawi","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",69.5,,
"ALL","All regions","MWI","Malawi","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MWI","Malawi","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",69.5,,
"ASI","Asia","MYS","Malaysia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MYS","Malaysia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","MDV","Maldives","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MDV","Maldives","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","MLI","Mali","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","MLI","Mali","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",47.6,,
"ALL","All regions","MLI","Mali","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MLI","Mali","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",47.6,,
"EUR","Europe","MLT","Malta","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","MLT","Malta","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74,,
"ALL","All regions","MLT","Malta","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MLT","Malta","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",74,,
"AFR","Africa","MRT","Mauritania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","MRT","Mauritania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",44,,
"ALL","All regions","MRT","Mauritania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MRT","Mauritania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",44,,
"AFR","Africa","MUS","Mauritius","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","MUS","Mauritius","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.7,,
"ALL","All regions","MUS","Mauritius","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MUS","Mauritius","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",64.7,,
"EUR","Europe","MDA","Moldova","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","MDA","Moldova","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",57.8,,
"ALL","All regions","MDA","Moldova","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MDA","Moldova","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",57.8,,
"ASI","Asia","MNG","Mongolia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","MNG","Mongolia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.4,,
"ALL","All regions","MNG","Mongolia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MNG","Mongolia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.4,,
"AFR","Africa","MAR","Morocco","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"AFR","Africa","MAR","Morocco","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.6,,
"ALL","All regions","MAR","Morocco","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.25,,
"ALL","All regions","MAR","Morocco","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",70.6,,
"AFR","Africa","MOZ","Mozambique","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","MOZ","Mozambique","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",49.3,,
"ALL","All regions","MOZ","Mozambique","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","MOZ","Mozambique","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",49.3,,
"ASI","Asia","MMR","Myanmar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","MMR","Myanmar","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.5,,
"ALL","All regions","MMR","Myanmar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","MMR","Myanmar","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.5,,
"AFR","Africa","NAM","Namibia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","NAM","Namibia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.3,,
"ALL","All regions","NAM","Namibia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","NAM","Namibia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",72.3,,
"ASI","Asia","NPL","Nepal","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","NPL","Nepal","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.5,,
"ALL","All regions","NPL","Nepal","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NPL","Nepal","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",71.5,,
"AME","Americas","NIC","Nicaragua","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","NIC","Nicaragua","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",60.5,,
"ALL","All regions","NIC","Nicaragua","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NIC","Nicaragua","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",60.5,,
"AFR","Africa","NER","Niger","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","NER","Niger","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.6,,
"ALL","All regions","NER","Niger","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","NER","Niger","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",46.6,,
"AFR","Africa","NGA","Nigeria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","NGA","Nigeria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",47.9,,
"ALL","All regions","NGA","Nigeria","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","NGA","Nigeria","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",47.9,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ASI","Asia","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.6,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PSE","Palestinian Authority or West Bank and Gaza Strip","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",67.6,,
"ASI","Asia","OMN","Oman","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","OMN","Oman","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PAK","Pakistan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PAK","Pakistan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",52.4,,
"ALL","All regions","PAK","Pakistan","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PAK","Pakistan","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",52.4,,
"AME","Americas","PAN","Panama","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","PAN","Panama","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.3,,
"ALL","All regions","PAN","Panama","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PAN","Panama","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.3,,
"ASI","Asia","PNG","Papua New Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PNG","Papua New Guinea","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","PRY","Paraguay","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","PRY","Paraguay","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.4,,
"ALL","All regions","PRY","Paraguay","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PRY","Paraguay","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61.4,,
"AME","Americas","PER","Peru","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AME","Americas","PER","Peru","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.1,,
"ALL","All regions","PER","Peru","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","PER","Peru","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",65.1,,
"ASI","Asia","PHL","Philippines","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ASI","Asia","PHL","Philippines","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61,,
"ALL","All regions","PHL","Philippines","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","PHL","Philippines","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",61,,
"ASI","Asia","QAT","Qatar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"ALL","All regions","QAT","Qatar","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",1,,
"EUR","Europe","ROU","Romania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","ROU","Romania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.1,,
"ALL","All regions","ROU","Romania","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","ROU","Romania","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",68.1,,
"EUR","Europe","RUS","Russia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"EUR","Europe","RUS","Russia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",76.7,,
"ALL","All regions","RUS","Russia","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","RUS","Russia","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",76.7,,
"AFR","Africa","RWA","Rwanda","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"AFR","Africa","RWA","Rwanda","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",77.2,,
"ALL","All regions","RWA","Rwanda","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
"ALL","All regions","RWA","Rwanda","AIC","All income groups","RCL_FM_PRACT","Practice","2019","2019",77.2,,
"ASI","Asia","WSM","Samoa","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"ALL","All regions","WSM","Samoa","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0.75,,
"AFR","Africa","STP","Sao Tome and Principe","AIC","All income groups","RCL_FM_LAW","Law","2019","2019",0,,
